用鲁,交费田期,物料集码,物料名账,供应离,单值,属属数量,深的单价,金额,通量单号,A  单
2020年12月,2030/12/1,0,科,供应高1,件,200,1000,200000,1001.0,RK001
2020年12月,2020/12/2,-2,物料2,供应商2,件,200,2000,400000,2001.0,RE002
2020年12月,2020/12/3,-3,物料3,供应高3,件,200,3000,600000,3001.0,RE003
2020年12月,2030/12/4,-4,物料1,供应高4,件,200,1200,240000,4001.0,RK004
2020年12月,2020/12/5,-5,物料2,供应商5,件,200,2200,440000,5001.0,5
2020年12月,2020/12/6,M-006,物科,供直高6,件,200,3200,640000,0.0,RE006
2020年12月,2020/12/7,-1,物料1,供应高1,件,200,1000,200000,1002.0,RK007
2020年12月,2020/12/8,-2,物料2,供应商2,件,200,2000,400000,2002.0,甲  0
2020年12月,2020/12/9,M-003,物料3,供应商3,件,200,3000,600000,3002.0,RE009
2020年12月,2020/12/10,-4,物料1,供应高4,件,200,1200,240000,4002.0,RK010
2220年12月,2020/12/11,氧-006,物料2,供应商5,件,200,2200,440000,5002.0,N8011
2020年12月,2020/12/12,WL-006,物料3,供应高6,件,200,3200,840000,0.0,RE012
2020年17月,2020/12/13,-1,物料1,供应高1,件,200,1000,200000,1003.0,RK013
2020年12月,2020/12/14,-2,物料2,供应商2,件,200,2000,400000,2003.0,RK014
2020年13月,2020/12/15,M-003,物料3,供应商3,件,200,3000,600000,3003.0,RE015
2020年12月,2020/12/16,-4,物料1,供应离4,件,200,1200,240000,4003.0,RK016
2020年12月,2220/12/17,-5,物科2,供应商5,件,200,2200,440000,5003.0,R017
2020年12月,2020/12/18,ML-006,物料3,供应高6,件,200,3200,640000,0.0,RE01B
