建筑物名称,所在城市,竣工时间,层数,楼高,"用地面积
（万平方米）","建筑面积
（万平方米）","总投资
(亿元）","单方投资
（元）","总造价
（亿元）","单方造价
（元）",备注
北京电视中心,北京,2006,41,239.0,3.61,20.2,35,17327,20,9901,用钢量达到了3.8万吨，地上高41层，地下3层；
京广中心,北京,1990,57,209.0,2.89,14.5,22.4,15448,—,—,地下3层；
中央电视台大楼,北京,2009,52,234.0,—,49.49,50,10103,46.5,9396,整体用钢量12.5万吨；
水立方,北京,2008,—,177.0,6.3,7.95,—,—,10.2,12830,空间钢架的薄膜结构；
银泰中心,北京,2008,63,249.0,3.1,35.0,40,11429,35,10000,拥有三座主体建筑，东西两栋为5A甲级写字楼，中央主楼为纯钢结构；
上海国际航运大厦,上海,1999,50,232.4,1.2,12.5,15,12000,—,—,包含高级智能化写字楼和涉外四星级商务性酒店；
环球金融中心,上海,2008,101,492.0,3,38.16,83,21751,52,13627,"第79层～93层为上海柏悦酒店,地下3层；"
金茂大厦,上海,1998,88,420.5,2.3,29.0,50,17241,—,—,钢筋混凝土结构；内有金茂君悦大酒店；
上海世茂国际广场,上海,2007,60,333.3,—,17.0,30,17647,—,—,裙楼为高档购物中心；11至60层为五星级酒店；
上海信息枢纽中心大厦,上海,2001,41,288.0,0.825,10.12,10,9881,—,—,地下四层；
上海中银大厦,上海,2000,53,258.0,0.4126,12.3,2.3亿美元,1870美元,—,—,地下三层，钢筋混凝土结构，外围框架梁为钢梁；
明天广场,上海,2003,58,283.0,10,12.7,28,22047,—,—,内含酒店式公寓、五星级酒店；
中信广场,广州,1997,80,391.0,2.3,29.0,40,13793,—,—,由一幢80层的主楼和两幢38层的副楼组成，内设68部电梯；
广州西塔（广州国际金融中心）,广州,2010,103,432.0,3.1084,45.6,60,13158,—,—,包括智能化超甲级写字楼和白金五星级酒店；
广东电信广场,广州,2005,68,249.9,0.9,14.5,—,—,9.6,6621,地下6层，地上裙楼8层和塔楼 60层，共68层；
广州歌剧院,广州,2010,7,43.1,4.2,7.3,13.8,18904,10,13699,总用钢量约为12000吨，可容1800个座位；
广东电视观光塔,广州,2010,—,601.0,17.546,11.4,22,19298,—,—,使用高强钢约5万吨；
南方国际大厦,广州,1999,50,201.0,1.28,12.0,11,9167,—,—,十层裙楼和40层塔楼；
中华广场写字楼,广州,2000,62,270.0,3.5,17.0,16,9412,—,—,"A、B两栋塔楼，A塔楼高26层,总高128米；B塔楼高62层，总高268米。"
大鹏国际广场,广州,2010,59,269.2,0.7429,12.3,13.88,11285,—,—,建筑高度为213米，加上顶部天线达到269.4米；
紫峰大厦,南京,2009,89,450.0,1.8721,26.1057,—,—,40,15322,内设50多部垂直电梯与30多部自动扶梯；
南京国际广场,南京,2008,82,357.0,3.2477,48.0,约50,10417,—,—,06年因资金短缺停工，后获摩根士丹利注资复工；
金奥大厦,南京,2007,54,232.0,2.551,22.1536,15,6771,—,—,包括50层主楼和4层裙楼；
招商局南京国际金融中心办公楼,南京,2007,51,232.0,11,18.7,15,8021,—,—,由6层裙楼和分别为51层、27层的主副塔楼组成；
深圳财富大厦,深圳,2006,57,241.0,0.8,11.0,—,—,—,—,地下3层，写字楼层高3.65M；
深圳地王大厦（信兴广场）,深圳,1996,69,384.0,1.87,27.0,40亿港币,14815港元,—,—,用钢量为24500吨；由商业大楼、商务公寓和购物中心三部分组成；
深圳福田香格里拉,深圳,2008,42,200.0,1.1457,11.1514,14,12554,约10亿元,8967,地下三层，
深圳赛格广场,深圳,2000,75,355.0,0.9653,17.5,—,—,—,—,钢管混凝土结构，地下4层，1-8层为商业裙楼，9层以上为写字楼和酒店；3.6米层高，净高2.7米；双层中空玻璃幕墙和25mm厚蜂窝铝板幕墙 ；
深圳世界金融中心,深圳,2009,54,227.0,1.0204,15.0,10,6667,—,—,54层高的主楼和两栋33层高副楼组成；
深圳信息枢纽大厦,深圳,2007,48,243.0,9.22,18.0,—,—,15,8333,主楼48层，副楼22层，裙房8层，地下3层；
深圳招商银行大厦,深圳,2001,53,237.2,1.0366,11.9,—,—,—,—,结构设计为钢骨砼框架—筒体结构，钢结构用量近一万吨；
深圳中航广场,深圳,2010,58,280.0,1.71,17.96,23,12806,—,—,地下4层，商业裙房7层，主体为浇型钢框架钢筋混凝土剪力墙核心筒结构；
重庆浪高会展国际广场,重庆,2006,54,268.0,2,5.4427,5.6,10289,—,—,
滨海浙江大厦,天津,2001,51,260.0,1.99,12.95,5,3861,—,—,旋转体结构；
滨江万丽酒店,天津,2002,48,203.0,6.5,12.3,6,4878,—,—,共268间客房；
津塔,天津,2010,75,337.0,2,34.64,40,11547,28.64,8267,地下四层，全钢筒中筒结构；
天津信达广场,天津,2005,51,238.0,2,15.394,10,6496,—,—,框筒为结构，裙楼为框剪结构；
中钢国际广场,天津,2012,88,358.0,2.6666,25.0,18,7200,—,—,
摩天360,无锡,2004,50,209.0,0.5677,8.0,5.72,7150,—,—,
无锡红豆国际广场,无锡,2008,48,248.0,1.2,13.68,8,5847,—,—,
无锡茂业城,无锡,一期2008年竣工,60层,250.0,5,45.0,20,4444,—,—,其中购物中心20万㎡，甲级写字楼7万㎡，超五星级酒店4万㎡，国际公寓14万㎡；
无锡润华国际大厦,无锡,2009,58,278.0,1.53,15.0,12,8000,—,—,由两幢楼组合而成，一幢楼为58层，另一幢48层，
无锡世界贸易中心,无锡,2008,57层,250.0,5.56,32.0,15,4688,—,—,包括1座五星级的商务酒店，公寓楼，写字楼，1座交流中心，1座世贸中心
南宁地王国际商会中心,南宁,2006,59,218.0,1.01,13.21,5,3785,—,—,
沈阳国际金融中心,沈阳,2010,89,427.0,4,53.0,10亿美元,1887美元,—,—,
东北世贸广场,沈阳,2010,66,260.0,3,34.0,30,8824,—,—,62层主楼内设5A智能化甲级写字楼及超五星级酒店；
武汉世界贸易大厦,武汉,1998,58,248.0,0.52,11.0,—,—,4.5,4090,地下两层，主楼为筒中筒结构，附楼为框架结构；
虎门黄河中心大厦,东莞,2009,62,247.0,—,9.0,6,6667,—,—,
温州世界贸易大厦,温州,2008,68,300.0,3.1,25.0,20,8000,—,—,地上68层，地下4层；
